Model,RMSE,MAE,R2,TrainTime_sec,Topsis Score,Rank
KNN,0.0174874169280991,0.01386479346295,0.986307398657996,0.0029985904693603,0.9980922936344511,1
RandomForest,0.0182051373602576,0.0139847881790514,0.9851603876820624,0.6379036903381348,0.5640653621121431,6
GradientBoosting,0.0184198018861309,0.0142324749689785,0.9848083640418758,0.1270830631256103,0.8840269710110463,3
DecisionTree,0.0249273431991398,0.0194380974915004,0.9721781105116554,0.0049903392791748,0.8904429365880299,2
LinearRegression,0.0393126481839909,0.032629829381977,0.9308010930233936,0.0009975433349609,0.6875977147511014,4
RidgeRegression,0.0393126491236644,0.032629830580564,0.9308010897153294,0.0019953250885009,0.6873798886396933,5
NeuralNet,0.064127171758036,0.0495454921468433,0.8158724358796123,0.0545392036437988,0.444590245885525,7
SVR_RBF,0.0658444565754158,0.0601388237179672,0.80587875389567,0.0050077438354492,0.43190974343117844,8
